Entity,Code,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)) ($),Public health expenditure share GDP OWID(%),"Deaths - Protein-energy malnutrition - Sex: Both - Age: Age-standardized (Rate) (deaths per 100,000 individuals)",Infant mortality rate (%),GDP per capita (int.-$) (constant 2011 international $), annual health care per capita(constant 2011 international $),"Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate) (homicides per 100,000)"
Afghanistan,AFG,2012,,2.92056601,3.390730087,6.09,1839.273579,160.3680266,11.44593269
Albania,ALB,2012,4424530,2.7357041,0.167334462,0.95,10369.82338,544.0061718,2.481095013
Algeria,DZA,2012,,4.52025089,0.298913897,2.24,13161.96167,821.3388854,1.229985964
American Samoa,ASM,2012,,,5.616784063,,,,5.083769769
Andean Latin America,,2012,,,3.822898052,,,,8.303726967
Andorra,AND,2012,,5.74703988,0.083869037,0.37,,3426.500209,0.755515422
Angola,AGO,2012,1463402895,2.1373165,23.7240619,6.78,5999.902106,223.2445288,3.694127483
Antigua and Barbuda,ATG,2012,,3.65233263,2.394341186,0.7,19047.20024,1128.176372,5.701403053
Arab World,,2012,,,,3.065605893,15056.31677,709.0257631,
Argentina,ARG,2012,205214278.5,2.95895087,1.962631939,1.19,19224.8744,1133.039588,6.349178929
Armenia,ARM,2012,6819879,1.87568154,0.040160984,1.45,7511.132482,331.6103735,4.089238066
Australasia,,2012,,,0.175023399,,,,1.362068369
Australia,AUS,2012,,6.28563327,0.192233597,0.36,42754.45629,4151.819526,1.362175759
Austria,AUT,2012,,8.41718956,0.010509937,0.33,44551.61757,4862.869021,0.825863035
Azerbaijan,AZE,2012,8384415,1.2105966,0.382813305,2.86,15888.218,873.877457,3.716659058
Bahamas,BHS,2012,,3.29824927,0.911885517,0.81,29395.61972,1725.575444,31.29603021
Bahrain,BHR,2012,,2.76266224,0.835224134,0.68,40960.33318,1788.868383,1.602380913
Bangladesh,BGD,2012,2433405506,0.98448372,5.943306699,3.5,2706.586745,85.14951446,1.743768538
Barbados,BRB,2012,,4.84151341,1.031968024,1.29,16463.765,1160.823549,11.29500474
Belarus,BLR,2012,0,3.8657579,0.137178978,0.36,17479.9294,859.4886454,8.683693463
Belgium,BEL,2012,,8.18629897,0.744018619,0.35,41046.48119,4237.731493,1.546726782
Belize,BLZ,2012,13699399,3.57774343,3.22742604,1.53,7974.034168,449.9795476,27.36666815
Benin,BEN,2012,1294268648,2.15409384,14.082624,7.04,1855.953118,83.3296218,5.453578299
Bermuda,BMU,2012,,,0.191010339,,52137.30037,,3.435276313
