"","Country","Country_Code","Year","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","homicide_Rate"
"1","Afghanistan","AFG",2012,61504781.25,2.92056601,3.390730087,6.09,1839.273579,160.3680266,11.44593269
"2","Albania","ALB",2012,4424530,2.7357041,0.167334462,0.95,10369.82338,544.0061718,2.481095013
"3","Algeria","DZA",2012,61504781.25,4.52025089,0.298913897,2.24,13161.96167,821.3388854,1.229985964
"4","American Samoa","ASM",2012,61504781.25,3.32588194,5.616784063,1.7,10404.22409,636.3530089,5.083769769
"6","Andorra","AND",2012,61504781.25,5.74703988,0.083869037,0.37,10404.22409,3426.500209,0.755515422
"7","Angola","AGO",2012,1463402895,2.1373165,23.7240619,6.78,5999.902106,223.2445288,3.694127483
"8","Antigua and Barbuda","ATG",2012,61504781.25,3.65233263,2.394341186,0.7,19047.20024,1128.176372,5.701403053
"10","Argentina","ARG",2012,205214278.5,2.95895087,1.962631939,1.19,19224.8744,1133.039588,6.349178929
"11","Armenia","ARM",2012,6819879,1.87568154,0.040160984,1.45,7511.132482,331.6103735,4.089238066
"13","Australia","AUS",2012,61504781.25,6.28563327,0.192233597,0.36,42754.45629,4151.819526,1.362175759
"14","Austria","AUT",2012,61504781.25,8.41718956,0.010509937,0.33,44551.61757,4862.869021,0.825863035
"15","Azerbaijan","AZE",2012,8384415,1.2105966,0.382813305,2.86,15888.218,873.877457,3.716659058
"16","Bahamas","BHS",2012,61504781.25,3.29824927,0.911885517,0.81,29395.61972,1725.575444,31.29603021
"17","Bahrain","BHR",2012,61504781.25,2.76266224,0.835224134,0.68,40960.33318,1788.868383,1.602380913
"18","Bangladesh","BGD",2012,2433405506,0.98448372,5.943306699,3.5,2706.586745,85.14951446,1.743768538
"19","Barbados","BRB",2012,61504781.25,4.84151341,1.031968024,1.29,16463.765,1160.823549,11.29500474
"20","Belarus","BLR",2012,0,3.8657579,0.137178978,0.36,17479.9294,859.4886454,8.683693463
"21","Belgium","BEL",2012,61504781.25,8.18629897,0.744018619,0.35,41046.48119,4237.731493,1.546726782
"22","Belize","BLZ",2012,13699399,3.57774343,3.22742604,1.53,7974.034168,449.9795476,27.36666815
"23","Benin","BEN",2012,1294268648,2.15409384,14.082624,7.04,1855.953118,83.3296218,5.453578299
"24","Bermuda","BMU",2012,61504781.25,3.32588194,0.191010339,1.7,52137.30037,636.3530089,3.435276313
"25","Bhutan","BTN",2012,2104079,2.70086093,0.992816106,3.11,7032.74666,268.4584055,1.111993442
"26","Bolivia","BOL",2012,344419840,3.77236617,7.769716697,3.34,5792.933051,333.4974473,6.447812048
"27","Bosnia and Herzegovina","BIH",2012,531221,7.08021227,0.042594576,0.57,9929.707283,947.943652,2.650894136
"28","Botswana","BWA",2012,66471975,3.95538221,5.405692232,3.68,14244.49431,878.7249266,8.642611649
"29","Brazil","BRA",2012,3481037120,3.66135204,3.62834355,1.54,15119.91214,1257.327661,30.64070229
"30","Brunei","BRN",2012,61504781.25,2.11253245,0.140233666,0.89,81993.93208,1706.219453,1.466854152
"31","Bulgaria","BGR",2012,39035034.5,3.9998185,0.049466279,0.83,15772.09659,1131.182789,2.450389098
"32","Burkina Faso","BFA",2012,1524434363,2.98036859,20.0326172,6.06,1521.454295,82.40361559,10.24386467
"33","Burundi","BDI",2012,2184771886,4.93086533,29.40233965,5.31,778.7354836,60.80011299,0.622290311
"34","Cambodia","KHM",2012,28796894,1.5033407,3.96983899,3.26,2807.007055,177.6133266,2.55507946
"35","Cameroon","CMR",2012,1387959804,1.0667471,10.05424141,6.44,3021.20597,117.7681517,2.974867081
"36","Canada","CAN",2012,61504781.25,7.65114455,0.344492942,0.48,41794.53892,4585.420877,1.655104428
"37","Cape Verde","CPV",2012,5305275,3.33864148,1.428699752,1.98,5986.939054,288.1608013,13.66546363
"39","Central African Republic","CAF",2012,1014056505,1.76802987,35.37633532,9.8,938.8237795,33.65525446,7.760958112
"46","Chad","TCD",2012,1245570384,1.42193941,24.5538436,8.17,1962.87773,59.90136056,6.049140264
"47","Chile","CHL",2012,56681835.5,3.47616472,2.067331592,0.72,21330.23991,1538.742736,4.433581443
"48","China","CHN",2012,12832933170,2.94581376,0.707768362,1.16,11145.75158,588.3594347,1.170143693
"49","Colombia","COL",2012,942827120,5.27751219,2.595053158,1.49,11840.24043,835.6853911,36.22662571
"50","Comoros","COM",2012,20148949,2.64660402,12.13211213,5.95,1422.229487,101.522384,7.86241456
"51","Congo","COG",2012,434664301.5,3.14942137,12.0278686,4.05,5271.16806,230.6448177,5.412921529
"53","Costa Rica","CRI",2012,21928470,7.00022695,0.368024244,0.85,13878.0474,1322.401185,9.596595489
"54","Cote d'Ivoire","CIV",2012,1460358430,1.88504549,12.07723483,7.31,2712.378026,172.158423,10.15836388
"55","Croatia","HRV",2012,16879096.5,6.36320706,0.010907787,0.45,20346.75535,1643.41053,1.326897858
"56","Cuba","CUB",2012,61504781.25,8.08825537,0.266434619,0.45,10404.22409,1704.373292,5.906815853
"57","Cyprus","CYP",2012,61504781.25,3.41160371,0.306304538,0.27,31690.70277,2215.658224,1.767067362
"58","Czech Republic","CZE",2012,5830948,6.341765,0.254388011,0.25,28527.13873,2057.588861,1.353731153
"59","Democratic Republic of Congo","COD",2012,20132145500,1.68717363,21.82869664,8.04,706.7979638,24.55287183,3.337154294
"60","Denmark","DNK",2012,61504781.25,9.41966027,0.261145943,0.35,44336.81246,4688.673649,0.802655149
"61","Djibouti","DJI",2012,46273787.5,5.25888563,17.40058839,5.93,10404.22409,257.6303507,8.298662451
"62","Dominica","DMA",2012,61504781.25,3.66936388,1.67088083,2.24,9981.101135,553.2149498,11.69141846
"63","Dominican Republic","DOM",2012,47912528,2.70181226,1.612918907,2.77,11494.94971,500.3807319,20.90433718
