"","Country","Code","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","lower_secondary","gov_expen","gross_enrol_secondary","gross_enrol_primary","gov_expen_ter_2010","grad_per_f","teritary_share_2010","men_earings","women_earnings","earnings_ratio_gap","men_employment","women_employmet","employment_ratio_gap","wage_gap","male_literacy_2011","female_literacy_2011","female_prp","female_top_managers_2013","homicide_Rate"
"1","Afghanistan","AFG",NA,2.92056601,3.390730087,6.09,1839.273579,160.3680266,62.054,16,5.38,NA,2.52441000938416,56.6773414611816,108.928520202637,NA,NA,3.65,NA,NA,31161000,NA,NA,33397058,NA,61.8790702819824,32.113224029541,NA,NA,11.44593269
"2","Albania","ALB",4424530,2.7357041,0.167334462,0.95,10369.82338,544.0061718,77.252,32.299999,1.69,94.165283203125,NA,92.7414703369141,104.784393310547,NA,NA,0.93,NA,NA,2914000,56.62,43.68,3227373,NA,98.7313613891602,98.8562393188477,14.7,11.7,2.481095013
"3","Algeria","DZA",NA,4.52025089,0.298913897,2.24,13161.96167,821.3388854,75.436,26,2.94,114.83487701416,NA,NA,118.267356872559,NA,NA,6.66,NA,NA,37384000,NA,NA,36485828,NA,NA,NA,NA,NA,1.229985964
"4","Andorra","AND",NA,5.74703988,0.083869037,0.37,NA,3426.500209,82.202,NA,NA,NA,NA,NA,NA,0.118380002677441,33.3333282470703,NA,NA,NA,82000,NA,NA,87518,NA,NA,NA,NA,NA,0.755515422
"5","Angola","AGO",1463402895,2.1373165,23.7240619,6.78,5999.902106,223.2445288,57.236,16.299999,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,25108000,NA,NA,20162517,NA,NA,NA,NA,NA,3.694127483
"6","Antigua and Barbuda","ATG",NA,3.65233263,2.394341186,0.7,19047.20024,1128.176372,76.087,29.299999,2.1,100.062698364258,NA,105.393508911133,97.8928604125977,NA,33.3333282470703,NA,NA,NA,90000,NA,NA,90510,NA,NA,NA,NA,NA,5.701403053
"7","Argentina","ARG",205214278.5,2.95895087,1.962631939,1.19,19224.8744,1133.039588,75.598,29.9,2.35,87.6616516113281,5.34582996368408,105.19255065918,112.978256225586,0.914740025997162,41.9838981628418,2.87,8.22,8.37,41755000,NA,NA,41118986,NA,NA,NA,32.3,NA,6.349178929
"8","Armenia","ARM",6819879,1.87568154,0.040160984,1.45,7511.132482,331.6103735,73.82,32.900002,1.73,NA,2.77248001098633,NA,NA,0.378639996051788,NA,15.03,NA,NA,2884000,60.21,45.21,3108972,NA,99.8184204101563,99.8761901855469,NA,19.1,4.089238066
"9","Australia","AUS",NA,6.28563327,0.192233597,0.36,42754.45629,4151.819526,82.291,36.900002,1.9,NA,4.89418983459473,136.879623413086,106.453323364258,1.24056994915009,NA,18.52,NA,NA,22904000,68.03,55.62,22918688,13.8,NA,NA,NA,NA,1.362175759
"10","Austria","AUT",NA,8.41718956,0.010509937,0.33,44551.61757,4862.869021,80.906,41.900002,1.46,99.0087585449219,5.48040008544922,97.7844161987305,100.76927947998,1.58666002750397,25.5401992797852,9.37,NA,NA,8502000,63.62,52.37,8428915,18.2,NA,NA,27.1,NA,0.825863035
"11","Azerbaijan","AZE",8384415,1.2105966,0.382813305,2.86,15888.218,873.877457,71.506,28.700001,2.05,94.1759796142578,2.06761002540588,100.268608093262,97.9553070068359,0.390370011329651,42.0569305419922,NA,NA,NA,9265000,64.9,57.6,9421233,NA,99.9560317993164,99.9317626953125,NA,2.4,3.716659058
"12","Bahamas","BHS",NA,3.29824927,0.911885517,0.81,29395.61972,1725.575444,72.424,30.9,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,364000,NA,NA,351275,NA,NA,NA,NA,NA,31.29603021
"13","Bahrain","BHR",NA,2.76266224,0.835224134,0.68,40960.33318,1788.868383,76.342,30.1,2.09,NA,2.64530992507935,NA,NA,NA,NA,7.76,NA,NA,1300000,NA,NA,1359485,NA,NA,NA,NA,NA,1.602380913
"14","Bangladesh","BGD",2433405506,0.98448372,5.943306699,3.5,2706.586745,85.14951446,70.606,23.9,2.21,NA,2.17549991607666,53.5320510864258,NA,0.2603600025177,36.4034194946289,2.28,NA,NA,151006000,NA,NA,152408774,NA,NA,NA,NA,4.8,1.743768538
"15","Barbados","BRB",NA,4.84151341,1.031968024,1.29,16463.765,1160.823549,78.547,37,1.79,NA,5.25890016555786,NA,NA,1.90964996814728,NA,2.07,NA,NA,284000,64,53.6,274530,NA,NA,NA,NA,NA,11.29500474
"16","Belarus","BLR",0,3.8657579,0.137178978,0.36,17479.9294,859.4886454,72.07,38.900002,1.62,97.6360321044922,4.95964002609253,107.004867553711,98.9761428833008,0.926620006561279,32.5225601196289,NA,NA,NA,9417000,76.2,85.5,9527498,NA,NA,NA,NA,32.7,8.683693463
"17","Belgium","BEL",NA,8.18629897,0.744018619,0.35,41046.48119,4237.731493,80.444,40.900002,1.8,93.9875793457031,NA,106.309463500977,103.550163269043,1.42053997516632,24.2000293731689,17.69,NA,NA,11085000,55.17,43.61,10787788,6.4,NA,NA,31.7,NA,1.546726782
