"","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","homicide_Rate","gov_exp_per_capita"
"1",2.92056601,0.530293219919053,0.784617292632875,3.26464633229042,2.20511778504949,62.054,16,5.38,11.44593269,8.24130587833323
"2",2.7357041,-0.776414608259591,-0.0222763947111523,4.01577135949949,2.73560382683693,77.252,32.299999,1.69,2.481095013,14.2158306126282
"3",5.74703988,-1.07639834360454,-0.431798275933005,4.30849516314648,3.53485076264328,82.202,32.7534883255814,1.835,0.755515422,3.059031565834
"4",1.87568154,-1.39619565491346,0.161368002234975,3.87570542217115,2.52062810777492,73.82,32.900002,1.73,4.089238066,10.7453158114408
"5",8.41718956,-1.97839988726713,-0.481486060122112,4.64886347692445,3.68689257221613,80.906,41.900002,1.46,0.825863035,25.4776317961785
"6",1.2105966,-0.417012976361062,0.456366033129043,4.20107519008557,2.9414505362042,71.506,28.700001,2.05,3.716659058,8.68618518050483
"7",2.76266224,-0.0781969651181595,-0.167491087293764,4.61236348062517,3.25257838828141,76.342,30.1,2.09,1.602380913,12.2011308933713
"8",0.98448372,0.774028142212857,0.544068044350276,3.43242195061094,1.93018217586945,70.606,23.9,2.21,1.743768538,7.46723366549379
"9",3.8657579,-0.862712437011967,-0.443697499232713,4.24253967422216,2.93424014364937,72.07,38.900002,1.62,8.683693463,21.0414695805578
"10",8.18629897,-0.128416196137212,-0.455931955649724,4.61327593209448,3.62713343590411,80.444,40.900002,1.8,1.546726782,54.0214611648263
"11",2.70086093,-0.00313118609213384,0.492760389026837,3.84712497314414,2.42887700638128,69.263,23.799999,2.24,1.111993442,53.859749624018
"12",7.08021227,-1.37064570050398,-0.244125144327509,3.99693644615383,2.97678252261995,76.401,38.900002,1.31,2.650894136,18.9450594975673
"13",2.11253245,-0.853147712454559,-0.0506099933550872,4.91378171382663,3.23203488913953,74.962,27.5,1.87,1.466854152,14.1988146250459
"14",3.9998185,-1.30569075732424,-0.0809219076239261,4.19788942807501,3.05353278869187,74.126,42.400002,1.51,2.450389098,14.7011342763079
"15",1.5033407,0.598772892865748,0.513217600067939,3.44824350417121,2.24947554844544,67.48,22.700001,2.74,2.55507946,5.38853570914488
"16",2.94581376,-0.150108854690754,0.0644579892269184,4.0471093591367,2.76964272202072,75.013,35.200001,1.6,1.170143693,19.1828738422365
"17",6.36320706,-1.96226335126101,-0.346787486224656,4.30849516314648,3.21574606534799,77.301,41.700001,1.49,1.326897858,38.7764564683183
"18",3.41160371,-0.513846568933683,-0.568636235841013,4.50093187017007,3.34550276919791,79.812,33.900002,1.39,1.767067362,69.7644439876361
"19",6.341765,-0.594503360316217,-0.602059991327962,4.45525821413558,3.31335860014609,78.067,39.599998,1.49,1.353731153,18.9386798866055
"20",9.41966027,-0.58311671670196,-0.455931955649724,4.64676446683905,3.67105000510589,79.958,40.599998,1.73,0.802655149,33.6324454832729
"21",5.11576165,-1.30223471287125,-0.508638306165727,4.40979790725667,3.19194427415013,76.446,40.200001,1.62,5.614586337,20.7830697439613
"22",7.04083988,-1.49482456191237,-0.638272163982407,4.60111373403175,3.55728098745771,80.586,42,1.8,1.806938027,33.0936953530669
"23",8.82605179,0.167054293046276,-0.468521082957745,4.57203407456822,3.63199527638106,81.852,40,1.99,0.957296072,24.9693407819071
"24",1.21034891,-1.2114958665617,0.113943352306837,3.8965994598173,2.80240245550948,72.097,36.599998,1.98,3.634235766,7.72816461311185
"25",8.36111454,-0.961763469997915,-0.481486060122112,4.63166795523971,3.67298343281388,80.391,44.299999,1.42,0.805564196,22.8494539879716
"26",6.27443023,-1.99107069815888,-0.481486060122112,4.38675338686567,3.36535135270161,80.963,41,1.37,1.415312985,20.7927509068345
"27",4.91010603,-1.10212795325499,-0.318758762624413,4.35376380333867,3.24158054049902,75.107,40.099998,1.33,1.884940881,39.183874230048
"28",6.99404794,-0.824912988212446,-0.721246399047171,4.60131681387785,3.54766561598375,82.095,34.799999,2.01,0.734060168,36.1959357304132
"29",1.18387275,0.498644096882235,0.613841821876069,3.68372764922751,2.33682842480985,67.545,25.1,2.48,3.316606848,14.2468169293028
"30",1.14773652,0.937283280451412,0.404833716619938,3.96619692158171,2.43748095155646,69.866,26.700001,2.46,1.079711759,13.5147366921006
"31",2.68760016,-0.490041949212383,0.187520720836463,4.22078566607364,3.05840251725236,74.776,26.9,1.74,2.648689086,13.3739395441267
"32",3.28004061,-0.380785486802045,0.460897842756548,4.16512479735819,2.81347500831825,69.148,18.9,4.54,7.203227897,19.7422546402197
"33",5.62241699,-1.24829094946396,-0.468521082957745,4.65295355132633,3.58137909420637,80.593,34.599998,2,0.897519276,26.7596014636763
"34",4.865017,-0.635831295718016,-0.468521082957745,4.48546806680006,3.3884663840102,81.833,30.1,3.03,2.243607983,25.4291500578488
"35",6.9931209,-0.908025396610769,-0.494850021680094,4.54688336251141,3.51911842672248,82.298,43.799999,1.43,0.928088211,37.7391319088447
"36",8.40992077,-0.558866557371677,-0.657577319177794,4.56071460657964,3.55889758114442,83.283,44.700001,1.4,0.599091542,16.8393442361178
"37",5.50930257,-0.86183380545729,0.230448921378274,3.95251461057483,2.92151847135745,73.722,21.5,3.6,2.800377499,18.7345046565352
"38",2.40821469,-0.334358950114381,0.164352855784437,4.34215252328741,2.97451584564119,68.805,28.9,2.7,10.6193875,52.1058302794489
"39",2.1872224,-1.91097520883971,-0.0705810742857073,4.88996244988956,3.30488944626995,74.728,29.5,2.09,0.930346204,23.1779090816352
"40",4.19724385,-0.733069731318855,0.3654879848909,3.45785752743887,2.30587327312769,69.868,24,3.08,5.506506189,25.5336157631216
"41",0.79224628,0.69396610081741,0.7481880270062,3.6807078687931,1.98862450123806,65.267,20.700001,2.97,4.051664511,6.70429904348795
"42",3.5769554,-1.14713480188904,-0.244125144327509,4.31864572572952,2.93941327627872,73.778,40.799999,1.51,7.315994922,28.4788338222224
"43",3.23585528,-0.709901071046833,-0.0915149811213502,4.17774672923263,3.03569622636068,78.611,28.5,1.67,5.182814645,9.00843372171762
"44",4.34953944,-1.48844821911678,-0.3767507096021,4.38110341473524,3.19974744844282,73.706,40.599998,1.57,6.991620409,20.884106659664
"45",5.98807092,-0.400457038354509,-0.638272163982407,4.95184806820182,3.81566726571787,80.955,38.900002,1.56,1.13956899,20.2550900081757
"46",4.42539678,-1.71992363448682,-0.0362121726544447,4.06256950569679,2.90471708623714,75.019,35.700001,1.49,1.778160115,19.2561533152449
"47",2.21523329,-0.509020021182882,-0.193820026016113,4.35393144768646,2.95511872534658,74.877,26,2.11,2.009712885,24.9873426926333
"48",6.50292714,0.128766498755153,-0.0315170514460649,4.10076970126658,3.06332166174613,76.664,25,2.21,0.876470158,15.4204524909529
"49",6.62523457,-1.25260234770288,-0.236572006437063,4.46436628971963,3.47126103455317,81.314,40.099998,1.41,1.22677524,29.1241427192323
"50",5.51752278,-1.69187768200725,0.15836249209525,3.61810091658079,2.70039936543993,70.581,34.200001,1.27,6.575331687,30.2073795491447
"51",2.2605149,-1.11324542803027,0.281033367247728,3.99073056544093,2.62466167030253,68.217,25.700001,2.77,9.253881136,20.7326832611136
"52",4.47237839,-1.09155826259968,-0.292429823902064,4.14818406222762,2.99108858736424,75.823,36.400002,1.73,3.631997815,19.6619573326931
"53",0.8196291,0.587860112377955,0.658964842664435,3.61791184249848,1.93016575275843,64.453,26.299999,2.32,2.061632592,1.51952297384936
"54",2.4668546,0.321774200486903,0.534026106056135,3.32291229699458,2.10359794486569,68.426,21.299999,2.38,1.677465357,12.4980377464569
"55",9.52842158,-0.485806579582547,-0.443697499232713,4.65716443538252,3.70884677519351,81.212,40.799999,1.76,0.97700041,25.501001666019
"56",4.24894646023529,0.289025617513793,0.296665190261531,4.30849516314648,3.05840251725236,70.454,33,1.96,2.907984329,46.1008982456673
"57",7.773856,-0.497935179428585,-0.619788758288394,4.79936406207182,3.78650148046817,81.512,38.700001,1.85,0.866499435,35.3437176729022
"58",2.07995677,-0.82603168591358,-0.00877392430750515,4.63377314068498,3.03096947454145,76.149,26.200001,2.88,0.593469341,51.4348818616033
"59",1.01846302,0.221397581742679,0.843232778098009,3.64022814021779,2.0910512252025,65.849,21.4,3.74,5.356985459,7.7765467891227
"60",4.24894646023529,-0.415464643004365,0.287801729930226,3.68500805574571,3.05840251725236,73.041,18.200001,4.28,6.132164906,18.9139669237744
"61",1.38625636,0.79247741973288,0.378397900948138,3.77734012797825,2.43852540954706,70.149,23.1,3.07,14.50839367,17.9041959838913
"62",4.57751554,-0.893372922210482,-0.337242168318426,4.36582688872946,3.18880451055207,76.968,38.099998,1.34,1.985591752,21.0075295540701
"63",6.23891139,-0.510700476732675,-0.522878745280338,4.41171816568856,3.41896999750908,80.513,41.599998,1.29,1.597713732,21.8221234651565
"64",1.83147767,-1.34059451490962,-0.130768280269024,5.09795828029203,3.45568562256919,79.399,31.799999,2,0.909519779,17.8807832503585
"65",4.39738629,-0.732853351066789,-0.0268721464003014,4.26249917485881,3.00218457051757,74.744,39.400002,1.49,2.265379282,12.5574927071503
"66",3.7958389,-0.972774034908606,-0.0757207139381184,4.40064885312559,3.21845163627229,69.944,38,1.62,17.49612603,16.6772712950969
"67",2.75228269,-0.271475565662309,-0.0457574905606751,4.69599493243778,3.28338733284633,74.254,25.9,2.78,0.86362497,22.2585233950663
"68",6.04971324,-1.03173516406588,-0.207608310501746,4.11054610730111,3.102647188184,74.619,38.799999,1.58,2.705186635,18.1956609913372
"69",1.50107774,-1.94554399388619,-0.657577319177794,4.88244239513968,3.51308393349975,82.254,37.299999,1.26,0.529489201,15.1973828096598
"70",5.67922105,-1.14448403643866,-0.259637310505756,4.41860737099125,3.31483519371065,76.067,37.299999,1.835,2.661634371,17.2732639734343
"71",6.80388719,-1.88285679037431,-0.638272163982407,4.44679984370281,3.41777839491589,80.001,41.5,1.57,1.08141699,25.1147696033288
"72",0.91707714,-0.975638965606892,-0.481486060122112,4.5021114866869,3.35132349858699,81.137,38,1.22,1.709916953,20.7917857280044
"73",6.7346152,-0.878737402913333,-0.522878745280338,4.49288866793137,3.47676667736399,82.384,40.599998,1.35,0.822220144,19.9119434172916
"74",1.21959941,-0.151108331881816,-0.0315170514460649,3.9991315400765,2.45939922470013,75.796,30.4,2.14,3.932596568,5.98338081205933
"75",9.95552109,-0.555071587896765,-0.602059991327962,4.63657027881617,3.69961928947369,81.834,40.700001,1.91,1.238666641,35.4984626251729
"76",7.49878485,-0.694637007956577,-0.408935392973501,4.74934721484316,3.79049884156941,82.626,41.599998,1.52,0.720027545,23.9052218762889
"77",1.87760452,-0.768248385605537,0.535294120042771,3.36630512826452,2.18315855805349,69.34,21.299999,3.49,2.824313834,13.5259155554346
"78",3.24811916,-0.331466867523429,0.0170333392987804,4.15981690121152,2.75845317659001,74.992,35.5,1.53,6.843409631,18.8718007156881
"79",0.91575551,0.770954821340736,0.68304703823885,3.99900341526277,1.98155813815263,67.72,17.1,1.835,2.663545994,38.3904327865226
"80",4.1491433,-0.286080135975033,0.155336037465062,4.30711138607502,2.97712979951943,75.373,28.299999,2.12,2.084376607,19.0331258558482
"81",1.27337639,-1.02831714456246,0.673020907128896,4.087617058054,2.39591805505132,67.167,24.4,2.94,4.072165422,12.464165854277
"82",4.12524044,-0.980676469627349,-0.0362121726544447,3.92023674136923,2.80369810194733,70.464,39.5,1.49,8.016280733,26.2355174949557
"83",2.55002589,-0.782684792226996,-0.154901959985743,4.77392599259558,3.29963604280888,76.711,31.9,1.82,1.23460079,22.6279084456639
"84",7.80263316,-1.13394372567647,-0.387216143280265,4.56694220974252,3.52152250809348,80.739,39.599998,1.89,0.556427725,21.6468270264294
"85",3.12737145,-1.48523568534939,0.444044795918076,3.67814129046931,2.51026992998642,70.155,24.5,2.4,2.524154229,26.7768685946166
"86",3.72212414,-1.01259713053493,0.252853030979893,3.68314949361074,2.53426861389978,74.958,28.5,1.96,1.845484342,20.379933927671
"87",1.57162782,0.393076076443268,0.635483746814912,3.57903002721391,2.3235435453791,65.92,18,4.44,3.060375293,16.9642269079346
