"","Country","Code","Year","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","homicide_Rate"
"2","Afghanistan","AFG",2012,NA,2.92056601,3.390730087,6.09,1839.273579,160.3680266,62.054,16,5.38,11.44593269
"3","Angola","AGO",2012,1463402895,2.1373165,23.7240619,6.78,5999.902106,223.2445288,57.236,16.299999,6,3.694127483
"5","Albania","ALB",2012,4424530,2.7357041,0.167334462,0.95,10369.82338,544.0061718,77.252,32.299999,1.69,2.481095013
"6","Andorra","AND",2012,NA,5.74703988,0.083869037,0.37,NA,3426.500209,82.202,NA,NA,0.755515422
"8","United Arab Emirates","ARE",2012,NA,2.55002589,0.164935905,0.7,59419.08949,1993.590901,76.711,31.9,1.82,1.23460079
"9","Argentina","ARG",2012,205214278.5,2.95895087,1.962631939,1.19,19224.8744,1133.039588,75.598,29.9,2.35,6.349178929
"10","Armenia","ARM",2012,6819879,1.87568154,0.040160984,1.45,7511.132482,331.6103735,73.82,32.900002,1.73,4.089238066
"12","Antigua and Barbuda","ATG",2012,NA,3.65233263,2.394341186,0.7,19047.20024,1128.176372,76.087,29.299999,2.1,5.701403053
"13","Australia","AUS",2012,NA,6.28563327,0.192233597,0.36,42754.45629,4151.819526,82.291,36.900002,1.9,1.362175759
"14","Austria","AUT",2012,NA,8.41718956,0.010509937,0.33,44551.61757,4862.869021,80.906,41.900002,1.46,0.825863035
"15","Azerbaijan","AZE",2012,8384415,1.2105966,0.382813305,2.86,15888.218,873.877457,71.506,28.700001,2.05,3.716659058
"16","Burundi","BDI",2012,2184771886,4.93086533,29.40233965,5.31,778.7354836,60.80011299,58.568,17.6,6.06,0.622290311
"17","Belgium","BEL",2012,NA,8.18629897,0.744018619,0.35,41046.48119,4237.731493,80.444,40.900002,1.8,1.546726782
"18","Benin","BEN",2012,1294268648,2.15409384,14.082624,7.04,1855.953118,83.3296218,59.842,17.9,5.25,5.453578299
"20","Burkina Faso","BFA",2012,1524434363,2.98036859,20.0326172,6.06,1521.454295,82.40361559,58.374,16.700001,5.69,10.24386467
"21","Bangladesh","BGD",2012,2433405506,0.98448372,5.943306699,3.5,2706.586745,85.14951446,70.606,23.9,2.21,1.743768538
"22","Bulgaria","BGR",2012,39035034.5,3.9998185,0.049466279,0.83,15772.09659,1131.182789,74.126,42.400002,1.51,2.450389098
"23","Bahrain","BHR",2012,NA,2.76266224,0.835224134,0.68,40960.33318,1788.868383,76.342,30.1,2.09,1.602380913
"24","Bahamas","BHS",2012,NA,3.29824927,0.911885517,0.81,29395.61972,1725.575444,72.424,30.9,1.83,31.29603021
"25","Bosnia and Herzegovina","BIH",2012,531221,7.08021227,0.042594576,0.57,9929.707283,947.943652,76.401,38.900002,1.31,2.650894136
"26","Belarus","BLR",2012,0,3.8657579,0.137178978,0.36,17479.9294,859.4886454,72.07,38.900002,1.62,8.683693463
"27","Belize","BLZ",2012,13699399,3.57774343,3.22742604,1.53,7974.034168,449.9795476,73.044,21.9,2.64,27.36666815
"29","Bolivia","BOL",2012,344419840,3.77236617,7.769716697,3.34,5792.933051,333.4974473,69.01,22.799999,3.07,6.447812048
"30","Brazil","BRA",2012,3481037120,3.66135204,3.62834355,1.54,15119.91214,1257.327661,74.209,29,1.78,30.64070229
"31","Barbados","BRB",2012,NA,4.84151341,1.031968024,1.29,16463.765,1160.823549,78.547,37,1.79,11.29500474
"32","Brunei","BRN",2012,NA,2.11253245,0.140233666,0.89,81993.93208,1706.219453,74.962,27.5,1.87,1.466854152
"33","Bhutan","BTN",2012,2104079,2.70086093,0.992816106,3.11,7032.74666,268.4584055,69.263,23.799999,2.24,1.111993442
