"Code","youth_literacy_female","Women_in_parlements","Firms_with_female_top_manager","Year","Entity"
"AFG",11.1428003311157,27.7,0.7,2012,"Afghanistan"
"AGO",63.1821212768555,34.1,13.5,2012,"Angola"
"ALB",99.0201873779297,15.7,11.7,2012,"Albania"
"ARG",97.3024826049805,37.4,9.2,2012,"Argentina"
"ARM",99.9105682373047,10.7,13.5,2012,"Armenia"
"AZE",99.9176712036133,16,4.7,2012,"Azerbaijan"
"BDI",21.4868602752686,30.5,16.3,2012,"Burundi"
"BEN",18.2551803588867,8.4,26.9,2012,"Benin"
"BFA",6.66406011581421,15.7,11.3,2012,"Burkina Faso"
"BGD",27.1510105133057,19.7,1.3,2012,"Bangladesh"
"BGR",98.1097717285156,22.9,25.7,2012,"Bulgaria"
"BIH",99.8436279296875,21.4,13.5,2012,"Bosnia and Herzegovina"
"BLR",99.800537109375,26.6,24.8,2012,"Belarus"
"BLZ",79.8089294433594,3.1,25.5,2012,"Belize"
"BOL",98.82861328125,25.4,21.7,2012,"Bolivia"
"BRA",99.0208206176758,8.6,19.4,2012,"Brazil"
"BRB",99.8000030517578,10,25.4,2012,"Barbados"
"BTN",84.4877395629883,8.5,26.3,2012,"Bhutan"
"BWA",92.2518768310547,7.9,16.5,2012,"Botswana"
"CAF",34.851749420166,12.5,12.1,2012,"Central African Republic"
"CHL",97.1165313720703,14.2,4.5,2012,"Chile"
"CHN",82.0992202758789,21.3,17.5,2012,"China"
"CIV",38.7500801086426,10.4,14.3,2012,"Cote d'Ivoire"
"CMR",59.0631790161133,13.9,10,2012,"Cameroon"
"COD",76.6585006713867,8.9,13.7,2012,"Democratic Republic of Congo"
"COG",76.9460830688477,7.4,17.2,2012,"Congo"
"COL",96.2814407348633,12.1,12.1,2012,"Colombia"
"CPV",98.3981781005859,20.8,16.7,2012,"Cape Verde"
"CRI",97.5381317138672,38.6,15.4,2012,"Costa Rica"
"DOM",97.7692337036133,20.8,11,2012,"Dominican Republic"
"ECU",98.8945388793945,32.3,17,2012,"Ecuador"
"EGY",86.0515899658203,2,7.1,2012,"Egypt"
"EST",99.9045028686523,20.8,25.8,2012,"Estonia"
