"","homicide_rate","men_earings","women_earnings","earnings_ratio_gap","men_employment","women_employmet","employment_ratio_gap","wage_gap","male_literacy_2011","female_literacy_2011","female_prp","female_top_managers_2013","Country","Code"
"2",11.4459326940681,NA,NA,31161000,NA,NA,33397058,NA,61.8790702819824,32.113224029541,NA,NA,"Afghanistan","AFG"
"3",3.69412748276066,NA,NA,25108000,NA,NA,20162517,NA,NA,NA,NA,NA,"Angola","AGO"
"5",2.48109501283132,NA,NA,2914000,56.62,43.68,3227373,NA,98.7313613891602,98.8562393188477,14.7,11.7,"Albania","ALB"
"6",0.755515422232272,NA,NA,82000,NA,NA,87518,NA,NA,NA,NA,NA,"Andorra","AND"
"7",1.23460078992105,NA,NA,9142000,NA,NA,8105873,NA,NA,NA,NA,NA,"United Arab Emirates","ARE"
"8",6.34917892854681,8.22,8.37,41755000,NA,NA,41118986,NA,NA,NA,32.3,NA,"Argentina","ARG"
"9",4.08923806573187,NA,NA,2884000,60.21,45.21,3108972,NA,99.8184204101563,99.8761901855469,NA,19.1,"Armenia","ARM"
"11",5.7014030532165,NA,NA,90000,NA,NA,90510,NA,NA,NA,NA,NA,"Antigua and Barbuda","ATG"
"12",1.36217575873871,NA,NA,22904000,68.03,55.62,22918688,13.8,NA,NA,NA,NA,"Australia","AUS"
"13",0.82586303468968,NA,NA,8502000,63.62,52.37,8428915,18.2,NA,NA,27.1,NA,"Austria","AUT"
"14",3.71665905775797,NA,NA,9265000,64.9,57.6,9421233,NA,99.9560317993164,99.9317626953125,NA,2.4,"Azerbaijan","AZE"
"15",0.622290311167657,NA,NA,9246000,NA,NA,8749387,NA,NA,NA,NA,NA,"Burundi","BDI"
"16",1.54672678216055,NA,NA,11085000,55.17,43.61,10787788,6.4,NA,NA,31.7,NA,"Belgium","BEL"
"17",5.45357829910499,NA,NA,9729000,NA,NA,9351838,NA,NA,NA,NA,NA,"Benin","BEN"
"19",10.2438646687167,NA,NA,16571000,NA,NA,17481984,NA,NA,NA,NA,NA,"Burkina Faso","BFA"
"20",1.74376853766611,NA,NA,151006000,NA,NA,152408774,NA,NA,NA,NA,4.8,"Bangladesh","BGD"
"21",2.45038909841712,NA,NA,7334000,50.79,42.64,7397873,NA,98.0669326782227,97.6510620117188,35.5,23.9,"Bulgaria","BGR"
"22",1.60238091289041,NA,NA,1300000,NA,NA,1359485,NA,NA,NA,NA,NA,"Bahrain","BHR"
"23",31.2960302105403,NA,NA,364000,NA,NA,351275,NA,NA,NA,NA,NA,"Bahamas","BHS"
"24",2.65089413611833,NA,NA,3605000,41.52,22.59,3744235,NA,NA,NA,23,24.1,"Bosnia and Herzegovina","BIH"
"25",8.68369346328738,NA,NA,9417000,76.2,85.5,9527498,NA,NA,NA,NA,32.7,"Belarus","BLR"
"26",27.3666681473627,NA,NA,338000,72.17,40.34,324292,NA,NA,NA,NA,NA,"Belize","BLZ"
"28",6.44781204759673,4.78,4.26,10378000,78.97,56.47,10248042,NA,99.2466278076172,98.7720184326172,NA,NA,"Bolivia","BOL"
"29",30.6407022936813,7.82,6.54,199287008,NA,NA,198360943,NA,97.9099884033203,99.0731506347656,36.4,NA,"Brazil","BRA"
"30",11.2950047401865,NA,NA,284000,64,53.6,274530,NA,NA,NA,NA,NA,"Barbados","BRB"
"31",1.46685415184759,NA,NA,399000,NA,NA,412892,NA,99.1998901367188,99.5460586547852,NA,NA,"Brunei","BRN"
"32",1.11199344219019,NA,NA,702000,64.42,61.84,750443,NA,NA,NA,NA,NA,"Bhutan","BTN"
"33",8.64261164905384,NA,NA,2040000,NA,NA,2053237,NA,NA,NA,NA,NA,"Botswana","BWA"
"34",7.76095811238603,NA,NA,4436000,NA,NA,4575586,NA,NA,NA,NA,NA,"Central African Republic","CAF"
"35",1.65510442776545,NA,NA,34922000,65.54,57.89,34674708,19.5,NA,NA,NA,NA,"Canada","CAN"
"36",0.720027545456364,NA,NA,8008000,71.31,57.96,7733709,19.3,NA,NA,30.9,NA,"Switzerland","CHE"
"37",4.43358144310961,NA,NA,17400000,68.02,43.84,17423214,NA,99.2143936157227,99.6053695678711,NA,NA,"Chile","CHL"
"38",1.17014369308925,NA,NA,1384205952,NA,NA,1353600687,NA,NA,NA,NA,NA,"China","CHN"
"39",10.1583638816939,NA,NA,21547000,NA,NA,20594615,NA,NA,NA,NA,NA,"Cote d'Ivoire","CIV"
"40",2.97486708091665,NA,NA,21485000,NA,NA,20468943,NA,NA,NA,NA,NA,"Cameroon","CMR"
"41",3.33715429385677,NA,NA,69021000,NA,NA,69575394,NA,NA,NA,NA,10.8,"Democratic Republic of Congo","COD"
"42",5.41292152923131,NA,NA,4510000,NA,NA,4233063,NA,85.6836090087891,76.9460830688477,NA,NA,"Congo","COG"
"44",36.2266257096548,4.33,4.12,46076000,75.83,50.04,47550708,8.2,97.7604522705078,98.7243423461914,NA,NA,"Colombia","COL"
"45",7.86241456027011,NA,NA,724000,NA,NA,773344,NA,NA,NA,NA,NA,"Comoros","COM"
"46",13.6654636310363,NA,NA,505000,NA,NA,505335,NA,NA,NA,NA,NA,"Cape Verde","CPV"
"47",9.5965954893342,NA,NA,4688000,69.2,43.46,4793725,0.6,99.007682800293,99.2581176757813,NA,NA,"Costa Rica","CRI"
"48",5.90681585300507,NA,NA,11257000,NA,NA,11249266,NA,NA,NA,NA,NA,"Cuba","CUB"
"51",1.76706736243887,NA,NA,1135000,61.85,50.65,1129166,NA,99.8045425415039,99.8383102416992,16.4,NA,"Cyprus","CYP"
"52",1.35373115303756,12.44,9.79,10581000,63.61,45.94,10565678,15.3,NA,NA,23.1,11.6,"Czech Republic","CZE"
"53",0.805564195574929,NA,NA,80973000,62.75,51.23,81990837,15.3,NA,NA,27.1,NA,"Germany","DEU"
"54",8.29866245106091,NA,NA,868000,NA,NA,922708,NA,NA,NA,NA,14.2,"Djibouti","DJI"
"55",11.6914184616572,NA,NA,71000,NA,NA,67665,NA,NA,NA,NA,NA,"Dominica","DMA"
"56",0.802655149239585,NA,NA,5611000,62.33,54.6,5592738,7,NA,NA,28.8,NA,"Denmark","DNK"
"57",20.9043371759896,4.03,3.72,9931000,70.28,41.11,10183339,NA,96.0916900634766,98.0536422729492,58,NA,"Dominican Republic","DOM"
"58",1.22998596410089,NA,NA,37384000,NA,NA,36485828,NA,NA,NA,NA,NA,"Algeria","DZA"
"59",17.8737227608675,NA,NA,15474000,75.27,46.46,14864987,NA,98.5865020751953,98.8053207397461,43.2,NA,"Ecuador","ECU"
"60",0.833145966151283,NA,NA,86422000,67.04,17.01,83958369,NA,NA,NA,NA,7.1,"Egypt","EGY"
"61",12.3211557698943,NA,NA,3250000,NA,NA,5580862,NA,NA,NA,NA,NA,"Eritrea","ERI"
"63",0.822220144286388,23.02,18.71,47063000,50.02,40.06,46771596,NA,99.6546478271484,99.7459716796875,28.8,NA,"Spain","ESP"
"64",5.61458633730418,NA,NA,1323000,60.89,50.37,1339762,NA,99.9392395019531,99.9590377807617,31.6,25.3,"Estonia","EST"
"65",7.71789879031066,NA,NA,92727000,61.74,42.6,86538534,NA,NA,NA,NA,NA,"Ethiopia","ETH"
"66",1.80693802666295,NA,NA,5415000,58.46,52.03,5402627,18.7,NA,NA,29.7,NA,"Finland","FIN"
"67",4.22156427691176,NA,NA,865000,NA,NA,875822,NA,NA,NA,NA,NA,"Fiji","FJI"
"69",0.957296071571393,NA,NA,63564000,56.01,46.72,63457777,NA,NA,NA,39.2,NA,"France","FRA"
"71",5.65974407140275,NA,NA,105000,NA,NA,NA,NA,NA,NA,NA,NA,"Micronesia (country)","FSM"
"72",5.20361120078602,NA,NA,1750000,NA,NA,1563873,NA,NA,NA,NA,NA,"Gabon","GAB"
"73",0.556427725442901,NA,NA,64525000,63.14,52.24,62798099,17.8,NA,NA,32.4,NA,"United Kingdom","GBR"
"74",3.63423576624754,NA,NA,4064000,65.6,49.5,4304363,NA,NA,NA,NA,32,"Georgia","GEO"
"76",3.19854283160867,NA,NA,25996000,NA,NA,25545939,NA,NA,NA,NA,14.9,"Ghana","GHA"
"78",6.60979022300335,NA,NA,10652000,NA,NA,10480710,NA,NA,NA,NA,NA,"Guinea","GIN"
"80",1.29906495696686,NA,NA,1905000,64.01,44.08,1824777,NA,NA,NA,33.7,NA,"Gambia","GMB"
"81",8.66584416200762,NA,NA,1605000,NA,NA,1579632,NA,NA,NA,NA,NA,"Guinea-Bissau","GNB"
"82",3.20676386713846,NA,NA,1031000,NA,NA,740471,NA,NA,NA,NA,NA,"Equatorial Guinea","GNQ"
"83",1.41531298497303,NA,NA,10781000,48.08,31.58,11418878,6.9,NA,NA,22.2,NA,"Greece","GRC"
"84",4.96561093154956,NA,NA,107000,NA,NA,105303,NA,NA,NA,NA,NA,"Grenada","GRD"
"86",36.3088750331883,NA,NA,15271000,85.49,44.07,15137569,NA,NA,NA,35.6,NA,"Guatemala","GTM"
"89",18.9599419147462,NA,NA,755000,NA,NA,757623,NA,NA,NA,NA,NA,"Guyana","GUY"
"91",102.742835524665,3.84,4.44,8641000,77.66,37.06,7912032,NA,94.9314422607422,96.9261093139648,35.8,NA,"Honduras","HND"
"92",1.32689785750912,NA,NA,4296000,49.5,37.42,4387376,NA,99.712043762207,99.7357177734375,25.8,18.7,"Croatia","HRV"
"93",19.6015413478209,NA,NA,10251000,NA,NA,10255644,NA,NA,NA,NA,NA,"Haiti","HTI"
"94",1.88494088110392,NA,NA,9864000,52.53,40.2,9949589,11.3,NA,NA,36.3,20.4,"Hungary","HUN"
"95",1.07971175870559,NA,NA,248452000,79.88,49.01,244769110,NA,98.803840637207,98.7518005371094,NA,NA,"Indonesia","IDN"
"97",3.3166068483232,NA,NA,1265779968,77.17,22.48,1258350971,NA,90.0448303222656,81.8498077392578,13,NA,"India","IND"
"98",0.897519276158002,NA,NA,4608000,55.64,46.79,4579498,8.5,NA,NA,30.4,NA,"Ireland","IRL"
"99",2.64868908598651,NA,NA,75540000,NA,NA,75611798,NA,NA,NA,NA,NA,"Iran","IRN"
"100",7.20322789739932,NA,NA,31890000,NA,NA,33703068,NA,NA,NA,NA,NA,"Iraq","IRQ"
"101",0.734060167853886,NA,NA,326000,77.41,72.71,328290,NA,NA,NA,38.2,NA,"Iceland","ISL"
"102",2.24360798299623,NA,NA,7615000,64.63,54.07,7694670,NA,NA,NA,NA,10.1,"Israel","ISR"
"103",0.928088211044548,NA,NA,59879000,53.43,35.02,60964145,11.1,99.8510284423828,99.8686981201172,22.2,NA,"Italy","ITA"
"104",36.3599112917606,NA,NA,2842000,61.9,44.95,2761331,NA,NA,NA,NA,NA,"Jamaica","JAM"
"105",2.80037749880145,NA,NA,8090000,NA,NA,6457260,NA,99.0508270263672,99.2532196044922,NA,2.4,"Jordan","JOR"
"106",0.59909154157936,NA,NA,128424000,67.53,46.22,126434653,26.5,NA,NA,NA,NA,"Japan","JPN"
"107",10.6193875036171,NA,NA,16752000,NA,NA,16381297,NA,NA,NA,NA,18.9,"Kazakhstan","KAZ"
"108",10.5915540205951,NA,NA,44343000,NA,NA,42749418,NA,NA,NA,NA,13.4,"Kenya","KEN"
"109",5.50650618913713,NA,NA,5622000,71.34,46.88,5448085,NA,NA,NA,NA,28.8,"Kyrgyzstan","KGZ"
"110",2.55507946006695,NA,NA,14780000,NA,NA,14478320,NA,NA,NA,16.7,NA,"Cambodia","KHM"
"111",1.84926138220843,NA,NA,106000,NA,NA,102660,NA,NA,NA,NA,NA,"Kiribati","KIR"
"113",1.70991695288196,22.46,15.12,50061000,70.77,48.43,48588326,36.3,NA,NA,NA,NA,"South Korea","KOR"
"114",0.930346203561845,NA,NA,3349000,NA,NA,2891553,NA,NA,NA,NA,NA,"Kuwait","KWT"
"115",4.05166451100403,NA,NA,6445000,NA,NA,6373934,NA,NA,NA,NA,NA,"Laos","LAO"
"116",5.18281464456598,NA,NA,5538000,NA,NA,4291719,NA,NA,NA,NA,4.4,"Lebanon","LBN"
"117",2.27934366459905,NA,NA,4136000,NA,NA,4244684,NA,NA,NA,NA,NA,"Liberia","LBR"
"118",3.91128522966763,NA,NA,6286000,51.3,25.3,6469497,NA,NA,NA,NA,NA,"Libya","LBY"
"119",18.6278413846599,NA,NA,177000,61.14,50.88,177794,NA,NA,NA,NA,NA,"Saint Lucia","LCA"
"121",3.93259656803001,NA,NA,20533000,72.85,30.89,21223550,NA,NA,NA,NA,NA,"Sri Lanka","LKA"
"122",45.2614943540012,NA,NA,2015000,NA,NA,2216850,NA,NA,NA,NA,NA,"Lesotho","LSO"
"123",6.99162040870931,NA,NA,3046000,53.62,47.04,3292454,NA,99.8454666137695,99.8666229248047,35.3,21,"Lithuania","LTU"
"124",1.13956898996153,NA,NA,531000,62.73,48.82,523362,NA,NA,NA,17,NA,"Luxembourg","LUX"
"125",7.31599492219928,NA,NA,2069000,55.7,46.76,2234572,NA,99.8021926879883,99.8701095581055,44.6,31.5,"Latvia","LVA"
"128",1.24276171238588,NA,NA,33242000,67.23,22.28,32598536,NA,88.8294219970703,74.0342864990234,NA,4.3,"Morocco","MAR"
"130",6.57533168664372,NA,NA,4076000,40.55,36.54,3519266,NA,NA,NA,NA,25.7,"Moldova","MDA"
"131",1.67437901685585,NA,NA,22347000,93.36,90.74,21928518,NA,NA,NA,24.5,28.2,"Madagascar","MDG"
"132",0.876470157825681,NA,NA,397000,NA,NA,324313,NA,NA,NA,NA,NA,"Maldives","MDV"
"133",27.0728762934891,4.82,4.15,117274000,74.92,41.7,116146768,13.6,98.4165573120117,98.5066604614258,NA,NA,"Mexico","MEX"
"134",6.63341542613604,NA,NA,57000,NA,NA,55717,NA,98.1697235107422,98.7566986083984,NA,NA,"Marshall Islands","MHL"
"135",1.77816011453807,NA,NA,2074000,46.2,29.98,2066785,NA,NA,NA,23.3,25.7,"Macedonia","MKD"
"136",6.11139783289927,NA,NA,15979000,NA,NA,16318897,NA,56.3150215148926,39.0085601806641,NA,NA,"Mali","MLI"
"137",1.22677524041924,NA,NA,422000,62.47,35.25,419212,NA,98.4039764404297,99.3865737915039,26.6,NA,"Malta","MLT"
