Entity,Code,Year, (constant 2011 international $)
Afghanistan,AFG,2002,75.98351391
Afghanistan,AFG,2003,89.44017773
Afghanistan,AFG,2004,87.52090345
Afghanistan,AFG,2005,88.32306226
Afghanistan,AFG,2006,86.85601592
Afghanistan,AFG,2007,88.71198979
Afghanistan,AFG,2008,111.4631064
Afghanistan,AFG,2009,148.0012021
Afghanistan,AFG,2010,153.4462057
Afghanistan,AFG,2011,141.0557326
Afghanistan,AFG,2012,160.3680266
Afghanistan,AFG,2013,156.5293486
Afghanistan,AFG,2014,166.5167266
Albania,ALB,1995,196.5377855
Albania,ALB,1996,247.1376732
Albania,ALB,1997,229.8300739
Albania,ALB,1998,239.4063957
Albania,ALB,1999,263.7093118
Albania,ALB,2000,263.0022674
Albania,ALB,2001,275.8667811
Albania,ALB,2002,302.7291147
Albania,ALB,2003,325.2822418
Albania,ALB,2004,361.8436802
Albania,ALB,2005,380.4157845
Albania,ALB,2006,412.8770907
Albania,ALB,2007,461.170785
Albania,ALB,2008,511.1042673
Albania,ALB,2009,540.7688721
Albania,ALB,2010,497.9283331
Albania,ALB,2011,554.4841174
Albania,ALB,2012,544.0061718
Albania,ALB,2013,564.0659649
Albania,ALB,2014,614.5359461
Algeria,DZA,1995,252.7694241
Algeria,DZA,1996,236.5296102
Algeria,DZA,1997,256.9033523
Algeria,DZA,1998,268.8515394
Algeria,DZA,1999,265.3882425
Algeria,DZA,2000,278.0811557
Algeria,DZA,2001,323.07174
Algeria,DZA,2002,332.4606516
Algeria,DZA,2003,346.5477253
Algeria,DZA,2004,360.8093318
Algeria,DZA,2005,355.1400135
Algeria,DZA,2006,380.5674869
Algeria,DZA,2007,453.2422424
Algeria,DZA,2008,510.1344154
Algeria,DZA,2009,654.9774122
Algeria,DZA,2010,644.2558833
Algeria,DZA,2011,686.2186592
Algeria,DZA,2012,821.3388854
Algeria,DZA,2013,858.8603564
Algeria,DZA,2014,932.1002838
Andorra,AND,1995,1380.969743
Andorra,AND,1996,1516.853223
Andorra,AND,1997,1709.126187
Andorra,AND,1998,2268.665063
Andorra,AND,1999,1759.841138
Andorra,AND,2000,1842.386063
Andorra,AND,2001,1914.264862
Andorra,AND,2002,2101.66749
Andorra,AND,2003,2154.416149
Andorra,AND,2004,2250.641541
Andorra,AND,2005,2210.098615
Andorra,AND,2006,2428.054636
Andorra,AND,2007,2996.340868
Andorra,AND,2008,2910.22717
Andorra,AND,2009,2926.503202
Andorra,AND,2010,3325.197128
Andorra,AND,2011,2788.292807
Andorra,AND,2012,3426.500209
Andorra,AND,2013,5564.650772
Andorra,AND,2014,4272.523818
Angola,AGO,1995,91.4636206
Angola,AGO,1996,60.22757641
Angola,AGO,1997,79.03869714
Angola,AGO,1998,79.53522966
Angola,AGO,1999,82.08157415
Angola,AGO,2000,69.20173589
Angola,AGO,2001,137.8811725
Angola,AGO,2002,103.8896713
Angola,AGO,2003,130.4836847
Angola,AGO,2004,153.300672
Angola,AGO,2005,157.521163
Angola,AGO,2006,209.6148394
Angola,AGO,2007,189.9018691
Angola,AGO,2008,242.1542637
Angola,AGO,2009,274.7345102
Angola,AGO,2010,215.7057657
Angola,AGO,2011,220.5002824
Angola,AGO,2012,223.2445288
Angola,AGO,2013,301.9891489
Angola,AGO,2014,239.0102329
Antigua and Barbuda,ATG,1995,611.4213057
Antigua and Barbuda,ATG,1996,612.4849049
Antigua and Barbuda,ATG,1997,638.5560777
Antigua and Barbuda,ATG,1998,652.8050096
Antigua and Barbuda,ATG,1999,680.3824839
Antigua and Barbuda,ATG,2000,631.6501361
Antigua and Barbuda,ATG,2001,668.4926242
Antigua and Barbuda,ATG,2002,678.5131132
Antigua and Barbuda,ATG,2003,744.8526988
Antigua and Barbuda,ATG,2004,740.1713175
Antigua and Barbuda,ATG,2005,840.8768084
Antigua and Barbuda,ATG,2006,956.5811278
Antigua and Barbuda,ATG,2007,1046.250352
Antigua and Barbuda,ATG,2008,1160.01048
Antigua and Barbuda,ATG,2009,1053.675724
Antigua and Barbuda,ATG,2010,1134.219371
Antigua and Barbuda,ATG,2011,1129.023728
Antigua and Barbuda,ATG,2012,1128.176372
Antigua and Barbuda,ATG,2013,1121.228751
Antigua and Barbuda,ATG,2014,1208.075846
Arab World,,1995,291.0420962
Arab World,,1996,302.5637961
Arab World,,1997,324.7998118
Arab World,,1998,356.4267967
Arab World,,1999,373.4247799
Arab World,,2000,382.6655944
Arab World,,2001,422.0290885
Arab World,,2002,437.2866288
Arab World,,2003,412.1106885
Arab World,,2004,417.4673617
Arab World,,2005,417.2424713
Arab World,,2006,452.7946343
Arab World,,2007,484.976712
Arab World,,2008,497.7372893
Arab World,,2009,640.2718973
Arab World,,2010,595.9404512
Arab World,,2011,626.2647205
Arab World,,2012,709.0257631
Arab World,,2013,762.0872068
Arab World,,2014,813.0922121
Argentina,ARG,1995,646.0843967
Argentina,ARG,1996,661.9501881
Argentina,ARG,1997,751.2249633
Argentina,ARG,1998,798.541251
Argentina,ARG,1999,848.433769
Argentina,ARG,2000,837.5075688
Argentina,ARG,2001,824.0230872
Argentina,ARG,2002,654.3601659
