"Country","Code","Year","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","homicide_Rate"
"Afghanistan","AFG",2012,NA,2.92056601,3.390730087,6.09,1839.273579,160.3680266,62.054,16,5.38,11.44593269
"Albania","ALB",2012,4424530,2.7357041,0.167334462,0.95,10369.82338,544.0061718,77.252,32.299999,1.69,2.481095013
"Andorra","AND",2012,NA,5.74703988,0.083869037,0.37,NA,3426.500209,82.202,NA,NA,0.755515422
"United Arab Emirates","ARE",2012,NA,2.55002589,0.164935905,0.7,59419.08949,1993.590901,76.711,31.9,1.82,1.23460079
"Armenia","ARM",2012,6819879,1.87568154,0.040160984,1.45,7511.132482,331.6103735,73.82,32.900002,1.73,4.089238066
"Austria","AUT",2012,NA,8.41718956,0.010509937,0.33,44551.61757,4862.869021,80.906,41.900002,1.46,0.825863035
"Azerbaijan","AZE",2012,8384415,1.2105966,0.382813305,2.86,15888.218,873.877457,71.506,28.700001,2.05,3.716659058
"Belgium","BEL",2012,NA,8.18629897,0.744018619,0.35,41046.48119,4237.731493,80.444,40.900002,1.8,1.546726782
"Bangladesh","BGD",2012,2433405506,0.98448372,5.943306699,3.5,2706.586745,85.14951446,70.606,23.9,2.21,1.743768538
"Bulgaria","BGR",2012,39035034.5,3.9998185,0.049466279,0.83,15772.09659,1131.182789,74.126,42.400002,1.51,2.450389098
"Bahrain","BHR",2012,NA,2.76266224,0.835224134,0.68,40960.33318,1788.868383,76.342,30.1,2.09,1.602380913
"Bosnia and Herzegovina","BIH",2012,531221,7.08021227,0.042594576,0.57,9929.707283,947.943652,76.401,38.900002,1.31,2.650894136
"Belarus","BLR",2012,0,3.8657579,0.137178978,0.36,17479.9294,859.4886454,72.07,38.900002,1.62,8.683693463
"Brunei","BRN",2012,NA,2.11253245,0.140233666,0.89,81993.93208,1706.219453,74.962,27.5,1.87,1.466854152
"Bhutan","BTN",2012,2104079,2.70086093,0.992816106,3.11,7032.74666,268.4584055,69.263,23.799999,2.24,1.111993442
"Switzerland","CHE",2012,NA,7.49878485,0.202005406,0.39,56149.67086,6173.036453,82.626,41.599998,1.52,0.720027545
"China","CHN",2012,12832933170,2.94581376,0.707768362,1.16,11145.75158,588.3594347,75.013,35.200001,1.6,1.170143693
"Cyprus","CYP",2012,NA,3.41160371,0.306304538,0.27,31690.70277,2215.658224,79.812,33.900002,1.39,1.767067362
"Czech Republic","CZE",2012,5830948,6.341765,0.254388011,0.25,28527.13873,2057.588861,78.067,39.599998,1.49,1.353731153
"Germany","DEU",2012,NA,8.36111454,0.109203493,0.33,42822.0994,4709.593602,80.391,44.299999,1.42,0.805564196
"Denmark","DNK",2012,NA,9.41966027,0.261145943,0.35,44336.81246,4688.673649,79.958,40.599998,1.73,0.802655149
"Spain","ESP",2012,NA,6.7346152,0.13220948,0.3,31109.18746,2997.551666,82.384,40.599998,1.35,0.822220144
"Estonia","EST",2012,11076582,5.11576165,0.049861494,0.31,25691.99964,1555.765993,76.446,40.200001,1.62,5.614586337
"Eritrea","EST",2012,NA,1.38397646,39.96096557,3.68,NA,44.79592593,76.446,40.200001,1.62,12.32115577
"Finland","FIN",2012,NA,7.04083988,0.032001876,0.23,39912.94136,3608.12012,80.586,42,1.8,1.806938027
"France","FRA",2012,NA,8.82605179,1.469109926,0.34,37327.9444,4285.438593,81.852,40,1.99,0.957296072
"United Kingdom","GBR",2012,NA,7.80263316,0.073460905,0.41,36892.85031,3322.940065,80.739,39.599998,1.89,0.556427725
"Georgia","GEO",2012,133867692,1.21034891,0.061447488,1.3,7881.329048,634.457383,72.097,36.599998,1.98,3.634235766
"Greece","GRC",2012,NA,6.27443023,0.010207733,0.33,24364.26906,2319.270226,80.963,41,1.37,1.415312985
"Croatia","HRV",2012,16879096.5,6.36320706,0.010907787,0.45,20346.75535,1643.41053,77.301,41.700001,1.49,1.326897858
"Hungary","HUN",2012,14446992,4.91010603,0.079044571,0.48,22582.07281,1744.13678,75.107,40.099998,1.33,1.884940881
"Indonesia","IDN",2012,3285500634,1.14773652,8.655323018,2.54,9251.175537,273.8299528,69.866,26.700001,2.46,1.079711759
"India","IND",2012,34526206800,1.18387275,3.152420165,4.11,4827.559656,217.1842987,67.545,25.1,2.48,3.316606848
"Ireland","IRL",2012,NA,5.62241699,0.056455863,0.34,44973.17526,3813.985997,80.593,34.599998,2,0.897519276
"Iran","IRN",2012,10563392,2.68760016,0.323562402,1.54,16625.91922,1143.93808,74.776,26.9,1.74,2.648689086
"Iraq","IRQ",2012,NA,3.28004061,0.416116094,2.89,14625.97401,650.8411568,69.148,18.9,4.54,7.203227897
"Iceland","ISL",2012,NA,6.99404794,0.149653546,0.19,39931.60936,3529.113419,82.095,34.799999,2.01,0.734060168
"Israel","ISR",2012,NA,4.865017,0.23129631,0.34,30582.15371,2446.055935,81.833,30.1,3.03,2.243607983
"Italy","ITA",2012,7893417,6.9931209,0.123587516,0.32,35227.62483,3304.59641,82.298,43.799999,1.43,0.928088211
"Jordan","JOR",2012,NA,5.50930257,0.137456789,1.7,8964.263431,834.6770479,73.722,21.5,3.6,2.800377499
"Japan","JPN",2012,NA,8.40992077,0.276142621,0.22,36367.59706,3621.575814,83.283,44.700001,1.4,0.599091542
"Kazakhstan","KAZ",2012,1164386.5,2.40821469,0.463064033,1.46,21986.31892,943.0090174,68.805,28.9,2.7,10.6193875
"Kyrgyzstan","KGZ",2012,28789959,4.19724385,0.184897172,2.32,2869.838962,202.2428949,69.868,24,3.08,5.506506189
"Cambodia","KHM",2012,28796894,1.5033407,3.96983899,3.26,2807.007055,177.6133266,67.48,22.700001,2.74,2.55507946
"South Korea","KOR",2012,NA,0.91707714,0.105769642,0.33,31776.89703,2245.553976,81.137,38,1.22,1.709916953
"Kuwait","KWT",2012,NA,2.1872224,0.012275093,0.85,77618.00034,2017.852635,74.728,29.5,2.09,0.930346204
"Laos","LAO",2012,164222187,0.79224628,4.942721047,5.6,4794.108611,97.41470086,65.267,20.700001,2.97,4.051664511
"Lebanon","LBN",2012,NA,3.23585528,0.195028881,0.81,15057.28703,1085.665973,78.611,28.5,1.67,5.182814645
"Sri Lanka","LKA",2012,41067683,1.21959941,0.70614139,0.93,9980.022952,288.0044676,75.796,30.4,2.14,3.932596568
"Lithuania","LTU",2012,15551737.5,4.34953944,0.032475196,0.42,24049.35398,1583.971811,73.706,40.599998,1.57,6.991620409
"Luxembourg","LUX",2012,NA,5.98807092,0.397688435,0.23,89505.15896,6541.348173,80.955,38.900002,1.56,1.13956899
"Latvia","LVA",2012,13655708.5,3.5769554,0.07126318,0.57,20827.9116,869.7877289,73.778,40.799999,1.51,7.315994922
"Moldova","MDA",2012,987544,5.51752278,0.020329295,1.44,4150.504763,501.6483238,70.581,34.200001,1.27,6.575331687
"Maldives","MDV",2012,2975115,6.50292714,1.345136938,0.93,12611.58587,1156.968838,76.664,25,2.21,0.876470158
"Macedonia","MKD",2012,6172843.5,4.42539678,0.019057958,0.92,11549.66814,803.0028492,75.019,35.700001,1.49,1.778160115
"Malta","MLT",2012,NA,6.62523457,0.055898178,0.58,29131.73091,2959.790927,81.314,40.099998,1.41,1.22677524
"Myanmar","MMR",2012,NA,0.8196291,3.871329281,4.56,4148.698196,85.14629454,64.453,26.299999,2.32,2.061632592
"Montenegro","MNE",2012,2235844,4.47237839,0.080991928,0.51,14066.4356,979.6898021,75.823,36.400002,1.73,3.631997815
"Mongolia","MNG",2012,1169241,2.2605149,0.077046794,1.91,9788.825022,421.3681159,68.217,25.700001,2.77,9.253881136
"Malaysia","MYS",2012,4025074,2.21523329,0.309727651,0.64,22590.79152,901.8176385,74.877,26,2.11,2.009712885
"Netherlands","NLD",2012,NA,9.52842158,0.326733316,0.36,45411.35235,5115.013393,81.212,40.799999,1.76,0.97700041
"Norway","NOR",2012,NA,7.773856,0.317734827,0.24,63003.4109,6116.47888,81.512,38.700001,1.85,0.866499435
"Nepal","NPL",2012,339468250,2.4668546,2.097848881,3.42,2103.353638,126.9398395,68.426,21.299999,2.38,1.677465357
"Oman","OMN",2012,NA,2.07995677,0.14926855,0.98,43030.17781,1073.913927,76.149,26.200001,2.88,0.593469341
"Pakistan","PAK",2012,1156387671,1.01846302,1.664936145,6.97,4367.451996,123.3250287,65.849,21.4,3.74,5.356985459
"Philippines","PHL",2012,1824562438,1.38625636,6.201224008,2.39,5988.804388,274.4892936,70.149,23.1,3.07,14.50839367
"Poland","POL",2012,0,4.57751554,0.127828319,0.46,23218.1113,1544.559029,76.968,38.099998,1.34,1.985591752
"North Korea","PRK",2012,NA,NA,1.945474835,1.98,NA,NA,70.454,33,1.96,2.907984329
"Portugal","PRT",2012,NA,6.23891139,0.308531509,0.3,25805.84983,2624.03726,80.513,41.599998,1.29,1.597713732
"Palestine","PSE",2012,280867.5,NA,0.384180535,1.94,4841.813486,NA,73.041,18.200001,4.28,6.132164906
"Qatar","QAT",2012,NA,1.83147767,0.04564629,0.74,125302.08,2855.522737,79.399,31.799999,2,0.909519779
"Romania","ROU",2012,0,4.39738629,0.184989317,0.94,18302.02629,1005.042832,74.744,39.400002,1.49,2.265379282
"Russia","RUS",2012,9930920,3.7958389,0.106469684,0.84,25156.42094,1653.680618,69.944,38,1.62,17.49612603
"Saudi Arabia","SAU",2012,NA,2.75228269,0.535210265,0.9,49658.6527,1920.380701,74.254,25.9,2.78,0.86362497
"Singapore","SGP",2012,NA,1.50107774,0.0113359,0.22,76285.56992,3258.996796,82.254,37.299999,1.26,0.529489201
"Serbia","SRB",2012,1497960,6.04971324,0.092953305,0.62,12898.70491,1266.62247,74.619,38.799999,1.58,2.705186635
"Slovakia","SVK",2012,4502202,5.67922105,0.071699473,0.55,26218.4716,2064.596533,76.067,37.299999,NA,2.661634371
"Slovenia","SVN",2012,0,6.80388719,0.013096137,0.23,27976.91631,2616.847383,80.001,41.5,1.57,1.08141699
"Sweden","SWE",2012,NA,9.95552109,0.278566195,0.25,43308.21447,5007.480762,81.834,40.700001,1.91,1.238666641
"Thailand","THA",2012,4657546,3.24811916,0.46615799,1.04,14448.30501,573.3940428,74.992,35.5,1.53,6.843409631
"Tajikistan","TJK",2012,286521605.5,1.87760452,0.170510691,3.43,2324.369287,152.4609277,69.34,21.299999,3.49,2.824313834
"Turkmenistan","TKM",2012,17568435.5,1.27337639,0.09368776,4.71,12235.36862,248.8387752,67.167,24.4,2.94,4.072165422
"Timor","TLS",2012,35250605,0.91575551,5.901396861,4.82,9977.079097,95.84250102,67.72,17.1,NA,2.663545994
"Turkey","TUR",2012,5190847.5,4.1491433,0.517511332,1.43,20282.02838,948.7019637,75.373,28.299999,2.12,2.084376607
"Ukraine","UKR",2012,0,4.12524044,0.104549878,0.92,8322.173034,636.3530089,70.464,39.5,1.49,8.016280733
"Uzbekistan","UZB",2012,1542218477,3.12737145,0.03271631,2.78,4765.860109,323.7948448,70.155,24.5,2.4,2.524154229
"Vietnam","VNM",2012,357220463,3.72212414,0.097141067,1.79,4821.137231,342.1910244,74.958,28.5,1.96,1.845484342
"Yemen","YEM",2012,NA,1.57162782,2.472157161,4.32,3793.412118,210.6413092,65.92,18,4.44,3.060375293
